Accession,UniProtKB,EC_Number,COG,Chromosome,Source,Start,Stop,DNA_Length,Protein_Length,GenBank_Name,UniProt_GO,KEGG_Enzymes,KEGG_Pathways
EIC29387.1,H8GM26,2.4.2.44,F,NZ_CM001475.1,chromosome,1816359,1817096,737,245,5\\'\\'-deoxy-5\\'\\'-methylthioadenosine phosphorylase,GO:0006166; GO:0017061,"ko:K00772,ko:K19696","ko00270,ko01100,map00270,map01100"
EIC30542.1,H8GL61,2.4.2.7,F,NZ_CM001475.1,chromosome,3224836,3225351,515,171,adenine phosphoribosyltransferase,GO:0003999; GO:0005737; GO:0006166; GO:0006168; GO:0044209,ko:K00759,"ko00230,ko01100,map00230,map01100"
EIC29388.1,H8GM27,2.4.2.8; 6.3.4.19,F,NZ_CM001475.1,chromosome,1817093,1817641,548,182,hypoxanthine-guanine phosphoribosyltransferase,GO:0009116; GO:0016757,"ko:K00760,ko:K15780","ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110"
EIC29010.1,H8GII3,2.4.2.9,F,NZ_CM001475.1,chromosome,1336830,1337348,518,172,pyrimidine operon attenuation protein/uracil phosphoribosyltransferase,GO:0009116; GO:0016757,ko:K02825,"ko00240,ko01100,map00240,map01100"
EIC28208.1,H8GM12,2.4.99.17,F,NZ_CM001475.1,chromosome,376346,377371,1025,341,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,GO:0005737; GO:0008616; GO:0016740; GO:0016853,"ko:K00773,ko:K07568",NA
EIC28799.1,H8GGK3,2.7.1.130,F,NZ_CM001475.1,chromosome,1097455,1098456,1001,333,tetraacyldisaccharide 4\\'\\'-kinase,GO:0005524; GO:0009029; GO:0009245,ko:K00912,"ko00540,ko01100,map00540,map01100"
EIC30999.1,H8GQ59,2.7.1.148,F,NZ_CM001475.1,chromosome,3733496,3734377,881,293,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,GO:0005524; GO:0016114; GO:0019288; GO:0050515,"ko:K00919,ko:K02528,ko:K16924","ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130"
EIC28691.1,H8GFU0,2.7.1.167; 2.7.7.70,F,NZ_CM001475.1,chromosome,967544,968968,1424,474,"D-heptose-7- phosphate 1-kinase,D-heptose-1-phosphate adenylyltransferase",GO:0005524; GO:0016773; GO:0033785; GO:0033786; GO:0097171,"ko:K03272,ko:K21344","ko00540,ko01100,map00540,map01100"
EIC30376.1,H8GJL6,2.7.1.2,F,NZ_CM001475.1,chromosome,3008496,3009491,995,331,glucokinase,GO:0004340; GO:0005524; GO:0005536; GO:0005737; GO:0006096,ko:K00845,"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200"
EIC29809.1,H8GQI2,2.7.1.23,F,NZ_CM001475.1,chromosome,2313579,2314463,884,294,putative sugar kinase,GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0019674; GO:0046872,ko:K00858,"ko00760,ko01100,map00760,map01100"
EIC30223.1,H8GI79,2.7.1.24,F,NZ_CM001475.1,chromosome,2846311,2846943,632,210,dephospho-CoA kinase,GO:0004140; GO:0005524; GO:0005737; GO:0015937,ko:K00859,"ko00770,ko01100,map00770,map01100"
EIC29695.1,H8GPA9,2.7.1.25,F,NZ_CM001475.1,chromosome,2176439,2177065,626,208,adenylylsulfate kinase ApsK,GO:0000103; GO:0004020; GO:0005524; GO:0070814,ko:K00860,"ko00230,ko00920,ko01100,ko01120,map00230,map00920,map01100,map01120"
EIC29621.1,H8GP35,2.7.1.30,F,NZ_CM001475.1,chromosome,2085385,2086872,1487,495,glycerol kinase,GO:0004370; GO:0005524; GO:0006072; GO:0019563,ko:K00864,"ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626"
EIC28724.1,H8GFX3,2.7.1.33,F,NZ_CM001475.1,chromosome,1017479,1018204,725,241,"pantothenate kinase, type III",GO:0004594; GO:0005524; GO:0005737; GO:0015937; GO:0046872,"ko:K01947,ko:K03525","ko00770,ko00780,ko01100,map00770,map00780,map01100"
EIC30381.1,H8GJM1,2.7.1.71,F,NZ_CM001475.1,chromosome,3013558,3014088,530,176,shikimate kinase,GO:0000287; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423,"ko:K00891,ko:K13829","ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230"
EIC28912.1,H8GHC1,2.7.1.90,F,NZ_CM001475.1,chromosome,1222654,1223883,1229,409,6-phosphofructokinase,GO:0003872; GO:0005737; GO:0006002; GO:0046872; GO:0047334,ko:K00895,"ko00010,ko00030,ko00051,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map01100,map01110,map01120,map01130"
EIC31394.1,H8GHS6,2.7.2.11,F,NZ_CM001475.1,chromosome,4166815,4167936,1121,373,glutamate 5-kinase,GO:0003723; GO:0004349; GO:0005524; GO:0005737; GO:0055129,ko:K00931,"ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230"
EIC29475.1,H8GMS3,2.7.2.3,F,NZ_CM001475.1,chromosome,1918777,1919952,1175,391,3-phosphoglycerate kinase,GO:0004618; GO:0005524; GO:0005737; GO:0006096,"ko:K00927,ko:K01803","ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230"
EIC29162.1,H8GK38,2.7.2.8,F,NZ_CM001475.1,chromosome,1531030,1531938,908,302,acetylglutamate kinase,GO:0003991; GO:0005524; GO:0005737; GO:0042450,ko:K00930,"ko00220,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map01100,map01110,map01130,map01210,map01230"
EIC30131.1,H8GHH9,2.7.4.22,F,NZ_CM001475.1,chromosome,2720896,2721624,728,242,uridylate kinase,GO:0005524; GO:0005737; GO:0033862; GO:0044210,ko:K09903,"ko00240,ko01100,map00240,map01100"
EIC28306.1,H8GN77,2.7.4.25,F,NZ_CM001475.1,chromosome,504548,505210,662,220,cytidylate kinase,GO:0004127; GO:0005524; GO:0005737; GO:0006220,"ko:K00800,ko:K00945,ko:K02945,ko:K03527,ko:K03977,ko:K11753,ko:K13799","ko00240,ko00400,ko00410,ko00740,ko00770,ko00900,ko01100,ko01110,ko01130,ko01230,ko03010,map00240,map00400,map00410,map00740,map00770,map00900,map01100,map01110,map01130,map01230,map03010"
EIC30495.1,H8GL14,2.7.4.25,F,NZ_CM001475.1,chromosome,3172452,3173315,863,287,cytidylate kinase,GO:0016301,"ko:K00945,ko:K15045","ko00240,ko01100,ko05164,map00240,map01100,map05164"
EIC30353.1,H8GJJ3,2.7.4.3,F,NZ_CM001475.1,chromosome,2979885,2980523,638,212,adenylate kinase family protein,GO:0004017; GO:0005524; GO:0005737; GO:0044209,ko:K00939,"ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130"
EIC29701.1,H8GPS2,2.7.4.6,F,NZ_CM001475.1,chromosome,2183037,2183468,431,143,nucleoside diphosphate kinase,GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872,ko:K00940,"ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016"
EIC29393.1,H8GM32,2.7.4.9,F,NZ_CM001475.1,chromosome,1821076,1821711,635,211,thymidylate kinase,GO:0004798; GO:0005524; GO:0006233; GO:0006235,ko:K00943,"ko00240,ko01100,map00240,map01100"
EIC29853.1,H8GQM6,2.7.6.1,F,NZ_CM001475.1,chromosome,2356136,2357026,890,296,ribose-phosphate pyrophosphokinase,GO:0000287; GO:0004749; GO:0009116; GO:0009165; GO:0016301,ko:K00948,"ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230"
EIC30998.1,H8GQ58,2.7.6.1,F,NZ_CM001475.1,chromosome,3732421,3733374,953,317,ribose-phosphate pyrophosphokinase,GO:0000287; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0009116; GO:0009156; GO:0009165; GO:0016301,ko:K00948,"ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230"
EIC30695.1,H8GMH1,3.1.3.5; 3.6.1.45,F,NZ_CM001475.1,chromosome,3381994,3383673,1679,559,"5\\'-nucleotidase/2\\',3\\'-cyclic phosphodiesterase-like hydrolase",GO:0000166; GO:0009166; GO:0016787,"ko:K11751,ko:K17224","ko00230,ko00240,ko00760,ko00920,ko01100,ko01110,ko01120,map00230,map00240,map00760,map00920,map01100,map01110,map01120"
EIC31584.1,H8GJQ5,3.2.2.9; 4.1.99.14,F,NZ_CM001475.1,chromosome,4396926,4397747,821,273,hypothetical protein Metal_3953,GO:0003824; GO:0009116,"ko:K01243,ko:K03716","ko00270,ko01100,ko01230,map00270,map01100,map01230"
EIC29012.1,H8GII5,3.5.2.3,F,NZ_CM001475.1,chromosome,1338314,1339594,1280,426,"dihydroorotase, multifunctional complex type",GO:0004151; GO:0006221; GO:0046872,ko:K01465,"ko00240,ko01100,map00240,map01100"
EIC31432.1,H8GIC0,3.5.2.3,F,NZ_CM001475.1,chromosome,4207083,4208129,1046,348,"dihydroorotase, homodimeric type",GO:0004151; GO:0008270; GO:0019856; GO:0044205,ko:K01465,"ko00240,ko01100,map00240,map01100"
EIC27859.1,H8GRL7,3.5.4.12; 3.5.4.5,F,NZ_CM001476.1,plasmid,34693,36588,1895,631,deoxycytidylate deaminase (plasmid),GO:0003824,"ko:K01489,ko:K01493","ko00240,ko00983,ko01100,map00240,map00983,map01100"
EIC31244.1,H8GGG4,3.5.4.13,F,NZ_CM001475.1,chromosome,4001215,4001781,566,188,deoxycytidine triphosphate deaminase,GO:0000166; GO:0006226; GO:0006229; GO:0008829,ko:K01494,"ko00240,ko01100,map00240,map01100"
EIC27968.1,H8GK09,3.5.4.16,F,NZ_CM001475.1,chromosome,97754,98539,785,261,hypothetical protein Metal_0099,GO:0003934; GO:0035998,"ko:K01495,ko:K09007","ko00790,ko01100,map00790,map01100"
EIC28613.1,H8GQV4,3.5.4.16,F,NZ_CM001475.1,chromosome,893046,893588,542,180,GTP cyclohydrolase I,GO:0003934; GO:0005525; GO:0006730; GO:0008270; GO:0035998; GO:0046654,ko:K01495,"ko00790,ko01100,map00790,map01100"
EIC30027.1,H8GGR4,3.5.4.2; 3.5.4.4,F,NZ_CM001475.1,chromosome,2589335,2591422,2087,695,adenosine deaminase,GO:0019239,"ko:K01488,ko:K21053","ko00230,ko01100,ko05340,map00230,map01100,map05340"
EIC29246.1,H8GKS4,3.5.4.28; 3.5.4.31,F,NZ_CM001475.1,chromosome,1637963,1639273,1310,436,cytosine deaminase-like metal-dependent hydrolase,GO:0046872; GO:0050270; GO:0090614,ko:K12960,"ko00270,ko01100,map00270,map01100"
EIC28578.1,H8GQB9,3.6.1.-,F,NZ_CM001475.1,chromosome,853489,853950,461,153,ADP-ribose pyrophosphatase,GO:0004787; GO:0017111,"ko:K03574,ko:K12152",NA
EIC29164.1,H8GK40,3.6.1.23,F,NZ_CM001475.1,chromosome,1534743,1535201,458,152,deoxyuridine 5\\'-triphosphate nucleotidohydrolase Dut,GO:0000287; GO:0004170; GO:0006226; GO:0046081,"ko:K01520,ko:K13038","ko00240,ko00770,ko00983,ko01100,map00240,map00770,map00983,map01100"
EIC27954.1,H8GJZ5,3.6.1.55,F,NZ_CM001475.1,chromosome,83285,83737,452,150,ADP-ribose pyrophosphatase,GO:0016787,ko:K03574,NA
EIC30088.1,H8GHD6,3.6.1.55,F,NZ_CM001475.1,chromosome,2679169,2679882,713,237,ADP-ribose pyrophosphatase,GO:0016787,ko:K03574,NA
EIC31304.1,H8GH29,3.6.1.66,F,NZ_CM001475.1,chromosome,4067718,4068329,611,203,"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family",GO:0000166; GO:0009117; GO:0009146; GO:0017111; GO:0046872; GO:0047429,"ko:K01776,ko:K02428","ko00230,ko00471,ko01100,map00230,map00471,map01100"
EIC30746.1,H8GN32,3.6.4.13,F,NZ_CM001475.1,chromosome,3438596,3439726,1130,376,"DNA/RNA helicase, superfamily II",GO:0003676; GO:0004386; GO:0005524,ko:K11927,"ko03018,map03018"
EIC29330.1,H8GLG5,4.1.1.23,F,NZ_CM001475.1,chromosome,1752423,1753148,725,241,"orotidine 5\\'\\'-phosphate decarboxylase, subfamily 1",GO:0004590; GO:0006207; GO:0044205,ko:K01591,"ko00240,ko01100,map00240,map01100"
EIC29212.1,H8GK88,4.2.1.11,F,NZ_CM001475.1,chromosome,1599620,1600900,1280,426,phosphopyruvate hydratase,GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986,ko:K01689,"ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066"
EIC29997.1,H8GG73,4.3.2.1; 6.3.5.5,F,NZ_CM001475.1,chromosome,2548685,2549716,1031,343,hypothetical protein Metal_2257,NA,"ko:K01755,ko:K01955","ko00220,ko00240,ko00250,ko01100,ko01110,ko01130,ko01230,map00220,map00240,map00250,map01100,map01110,map01130,map01230"
EIC28573.1,H8GQB4,4.3.2.2,F,NZ_CM001475.1,chromosome,847825,849189,1364,454,adenylosuccinate lyase,GO:0004018; GO:0006189; GO:0044208; GO:0070626,ko:K01756,"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130"
EIC30205.1,H8GI61,4.6.1.1,F,NZ_CM001475.1,chromosome,2825292,2828108,2816,938,adenylate cyclase,GO:0004016; GO:0006171,ko:K05851,"ko00230,ko02026,ko05111,map00230,map02026,map05111"
EIC28650.1,H8GQZ1,5.4.99.18,F,NZ_CM001475.1,chromosome,930265,930774,509,169,"phosphoribosylaminoimidazole carboxylase, PurE protein",GO:0006189; GO:0034023,ko:K01588,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"
EIC29751.1,H8GPX2,6.2.1.5,F,NZ_CM001475.1,chromosome,2243395,2244594,1199,399,"succinyl-CoA synthetase, beta subunit",GO:0000287; GO:0004775; GO:0005524; GO:0006099,"ko:K01903,ko:K14067","ko00020,ko00630,ko00640,ko00660,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00630,map00640,map00660,map00680,map00720,map01100,map01110,map01120,map01130,map01200"
EIC29752.1,H8GPX3,6.2.1.5,F,NZ_CM001475.1,chromosome,2244604,2245491,887,295,"succinyl-CoA synthetase, alpha subunit",GO:0000166; GO:0004775; GO:0006099; GO:0048037,"ko:K01902,ko:K08692","ko00020,ko00630,ko00640,ko00660,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00630,map00640,map00660,map00680,map00720,map01100,map01110,map01120,map01130,map01200"
EIC30020.1,H8GGQ7,6.3.1.2,F,NZ_CM001475.1,chromosome,2573058,2574467,1409,469,"glutamine synthetase, type I",GO:0004356; GO:0005524; GO:0005737; GO:0006542,ko:K01915,"ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727"
EIC31149.1,H8GRH0,6.3.2.4,F,NZ_CM001475.1,chromosome,3900374,3901300,926,308,D-alanine--D-alanine ligase,GO:0005524; GO:0005737; GO:0008360; GO:0008716; GO:0009252; GO:0046872; GO:0071555,"ko:K00075,ko:K01921","ko00473,ko00520,ko00550,ko01100,ko01502,map00473,map00520,map00550,map01100,map01502"
EIC28815.1,H8GGL9,6.3.2.6,F,NZ_CM001475.1,chromosome,1113755,1114645,890,296,phosphoribosylaminoimidazole-succinocarboxamide synthase,GO:0004639; GO:0005524; GO:0006189,"ko:K01923,ko:K01945,ko:K03566","ko00230,ko01100,ko01110,ko01130,ko02026,map00230,map01100,map01110,map01130,map02026"
EIC28312.1,H8GN83,6.3.3.1,F,NZ_CM001475.1,chromosome,511585,512622,1037,345,phosphoribosylaminoimidazole synthetase,GO:0004641; GO:0005524; GO:0005737; GO:0006189,"ko:K01933,ko:K11788","ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"
EIC27920.1,H8GJW1,6.3.4.13,F,NZ_CM001475.1,chromosome,49876,51159,1283,427,phosphoribosylamine--glycine ligase,GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872,ko:K01945,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"
EIC28649.1,H8GQZ0,6.3.4.18,F,NZ_CM001475.1,chromosome,929174,930268,1094,364,"phosphoribosylaminoimidazole carboxylase, PurK protein",GO:0004638; GO:0005524; GO:0006189; GO:0034028; GO:0046872,ko:K01589,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"
EIC29207.1,H8GK83,6.3.4.2,F,NZ_CM001475.1,chromosome,1596131,1597762,1631,543,CTP synthase,GO:0003883; GO:0005524; GO:0006541; GO:0044210; GO:0046872,ko:K01937,"ko00240,ko01100,map00240,map01100"
EIC30514.1,H8GL33,6.3.4.20,F,NZ_CM001475.1,chromosome,3187706,3188386,680,226,queuosine biosynthesis protein QueC,GO:0005524; GO:0008270; GO:0008616; GO:0016879,ko:K06920,"ko00790,ko01100,map00790,map01100"
EIC29736.1,H8GPV7,6.3.4.3,F,NZ_CM001475.1,chromosome,2226292,2227965,1673,557,formyltetrahydrofolate synthetase,GO:0004329; GO:0005524; GO:0035999,"ko:K00288,ko:K01938","ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200"
EIC30598.1,H8GLS1,6.3.4.4,F,NZ_CM001475.1,chromosome,3279603,3280895,1292,430,adenylosuccinate synthase,GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208,ko:K01939,"ko00230,ko00250,ko01100,map00230,map00250,map01100"
EIC30146.1,H8GHJ4,6.3.4.5,F,NZ_CM001475.1,chromosome,2739414,2740628,1214,404,argininosuccinate synthase,GO:0004055; GO:0005524; GO:0005737; GO:0006526,ko:K01940,"ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,ko05418,map00220,map00250,map01100,map01110,map01130,map01230,map05418"
EIC28567.1,H8GQA8,6.3.5.2,F,NZ_CM001475.1,chromosome,839099,840685,1586,528,GMP synthase (glutamine-hydrolyzing),GO:0003922; GO:0005524; GO:0006541; GO:0016462,ko:K01951,"ko00230,ko00983,ko01100,map00230,map00983,map01100"
EIC29033.1,H8GIK6,6.3.5.2,F,NZ_CM001475.1,chromosome,1369163,1369927,764,254,GMP synthase family protein,GO:0006541,ko:K01951,"ko00230,ko00983,ko01100,map00230,map00983,map01100"
EIC29937.1,H8GG13,6.3.5.2,F,NZ_CM001475.1,chromosome,2467783,2468493,710,236,GMP synthase family protein,GO:0006541,ko:K01951,"ko00230,ko00983,ko01100,map00230,map00983,map01100"
EIC29827.1,H8GQK0,6.3.5.3,F,NZ_CM001475.1,chromosome,2333161,2337042,3881,1293,"phosphoribosylformylglycinamidine synthase, single chain form",GO:0004642; GO:0005524; GO:0005737; GO:0006189; GO:0006541; GO:0046872,ko:K01952,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"
EIC29900.1,H8GR73,6.3.5.5,F,NZ_CM001475.1,chromosome,2415293,2418520,3227,1075,"carbamoyl-phosphate synthase, large subunit",GO:0004088; GO:0005524; GO:0006526; GO:0044205; GO:0046872,ko:K01955,"ko00240,ko00250,ko01100,map00240,map00250,map01100"
EIC29901.1,H8GR74,6.3.5.5,F,NZ_CM001475.1,chromosome,2418622,2419743,1121,373,"carbamoyl-phosphate synthase, small subunit",GO:0004088; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205,ko:K01956,"ko00240,ko00250,ko01100,map00240,map00250,map01100"
EIC27828.1,H8GRI6,,F,NZ_CM001476.1,plasmid,105,902,797,265,"DNA/RNA endonuclease G, NUC1 (plasmid)",GO:0003676; GO:0004519; GO:0046872,ko:K01173,"ko04210,map04210"
EIC30415.1,H8GKC4,,F,NZ_CM001475.1,chromosome,3057533,3058789,1256,418,nucleoside phosphorylase,GO:0003824; GO:0009116,NA,NA
EIC28732.1,H8GFY1,2.1.1.226; 2.1.1.227,"F, G",NZ_CM001475.1,chromosome,1024523,1024861,338,112,"HIT family hydrolase, diadenosine tetraphosphate hydrolase",GO:0016787,"ko:K02503,ko:K06442",NA
EIC31442.1,H8GID0,,"F, G",NZ_CM001475.1,chromosome,4223703,4224131,428,142,"HIT family hydrolase, diadenosine tetraphosphate hydrolase",GO:0016787,NA,NA
EIC28120.1,H8GLC1,3.5.4.1; 3.5.4.33,"F, J",NZ_CM001475.1,chromosome,258866,259327,461,153,cytosine/adenosine deaminase,GO:0008270; GO:0016787,"ko:K01485,ko:K11991","ko00240,ko00330,ko01100,map00240,map00330,map01100"
EIC28660.1,H8GR01,3.5.4.12; 3.5.4.3; 3.5.4.33,"F, J",NZ_CM001475.1,chromosome,939079,939549,470,156,cytosine/adenosine deaminase,GO:0008270; GO:0016787,"ko:K01487,ko:K01493,ko:K11991","ko00230,ko00240,ko01100,map00230,map00240,map01100"
EIC28637.1,H8GQX8,3.5.4.3; 3.5.4.33,"F, J",NZ_CM001475.1,chromosome,917870,918337,467,155,cytosine/adenosine deaminase,GO:0008270; GO:0016787,"ko:K01487,ko:K11991","ko00230,ko01100,map00230,map01100"
EIC28568.1,H8GQA9,3.5.4.33,"F, J",NZ_CM001475.1,chromosome,840676,841137,461,153,cytosine/adenosine deaminase,GO:0002100; GO:0008270; GO:0052717,"ko:K01297,ko:K01485,ko:K01487,ko:K01563,ko:K11991","ko00230,ko00240,ko00330,ko00361,ko00625,ko01100,ko01120,map00230,map00240,map00330,map00361,map00625,map01100,map01120"
EIC29755.1,H8GPX6,3.6.1.11; 3.6.1.40,"F, P",NZ_CM001475.1,chromosome,2249036,2250535,1499,499,exopolyphosphatase,GO:0004309; GO:0006793,ko:K01524,"ko00230,map00230"
EIC30082.1,H8GGW9,1.1.1.49,G,NZ_CM001475.1,chromosome,2673076,2674476,1400,466,glucose-6-phosphate 1-dehydrogenase,GO:0004345; GO:0006006; GO:0006098; GO:0050661,ko:K00036,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,ko05230,map00030,map00480,map01100,map01110,map01120,map01130,map01200,map05230"
EIC30188.1,H8GI44,1.1.2.7,G,NZ_CM001475.1,chromosome,2805530,2807341,1811,603,"PQQ-dependent dehydrogenase, methanol/ethanol family",GO:0005509; GO:0016020; GO:0016614; GO:0030288,ko:K14028,"ko00010,ko00625,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00625,map00680,map01100,map01110,map01120,map01130,map01200"
EIC29181.1,H8GK57,1.1.2.8,G,NZ_CM001475.1,chromosome,1556551,1558389,1838,612,"PQQ-dependent dehydrogenase, methanol/ethanol family",GO:0005509; GO:0016020; GO:0016614; GO:0030288,ko:K00114,"ko00010,ko00625,ko01100,ko01110,ko01120,ko01130,map00010,map00625,map01100,map01110,map01120,map01130"
EIC28608.1,H8GQE9,2.2.1.8; 4.1.2.17,G,NZ_CM001475.1,chromosome,887575,888231,656,218,ribulose-5-phosphate 4-epimerase-like epimerase or aldolase,NA,"ko:K01628,ko:K18847","ko00051,ko01120,map00051,map01120"
EIC29256.1,H8GKT4,2.4.1.1; 2.4.1.8,G,NZ_CM001475.1,chromosome,1650035,1652554,2519,839,alpha-glucan phosphorylase,GO:0005975; GO:0008184; GO:0030170,"ko:K00688,ko:K00691","ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931"
EIC29177.1,H8GK53,2.4.1.18,G,NZ_CM001475.1,chromosome,1549378,1551792,2414,804,"alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase",GO:0003844; GO:0004553; GO:0005978; GO:0043169; GO:0102752,ko:K00700,"ko00500,ko01100,ko01110,map00500,map01100,map01110"
EIC29912.1,H8GR85,2.4.1.18,G,NZ_CM001475.1,chromosome,2435859,2437442,1583,527,hypothetical protein Metal_2159,GO:0003844; GO:0030979,"ko:K03406,ko:K16149","ko00500,ko01100,ko01110,ko02020,ko02030,map00500,map01100,map01110,map02020,map02030"
EIC29179.1,H8GK55,2.4.1.25,G,NZ_CM001475.1,chromosome,1553724,1555205,1481,493,4-alpha-glucanotransferase,GO:0004134; GO:0102500,ko:K00705,"ko00500,ko01100,map00500,map01100"
EIC28343.1,H8GNB4,2.4.1.25; 5.4.99.15,G,NZ_CM001475.1,chromosome,567502,570471,2969,989,malto-oligosyltrehalose synthase,GO:0003824; GO:0005975,"ko:K00705,ko:K06044","ko00500,ko01100,ko01110,map00500,map01100,map01110"
EIC30618.1,H8GLU1,2.4.1.4; 3.2.1.1; 5.4.99.16,G,NZ_CM001475.1,chromosome,3302890,3304845,1955,651,glycosidase,GO:0005975; GO:0016798,"ko:K05341,ko:K05343","ko00500,ko01100,map00500,map01100"
EIC29338.1,H8GLH3,2.7.1.12; 2.7.1.15; 5.3.1.6,G,NZ_CM001475.1,chromosome,1761789,1762463,674,224,ribose 5-phosphate isomerase,GO:0004751; GO:0009052,"ko:K00851,ko:K00852,ko:K01807","ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230"
EIC31116.1,H8GRD7,2.7.1.121; 2.7.1.28; 2.7.1.29; 4.6.1.15,G,NZ_CM001475.1,chromosome,3862309,3863298,989,329,"dihydroxyacetone kinase, DhaK subunit",GO:0004371; GO:0006071,"ko:K00863,ko:K05878","ko00051,ko00561,ko00680,ko01100,ko01120,ko01200,ko04622,map00051,map00561,map00680,map01100,map01120,map01200,map04622"
EIC31118.1,H8GRD9,2.7.1.15; 2.7.1.184,G,NZ_CM001475.1,chromosome,3864084,3864992,908,302,"sugar kinase, ribokinase",GO:0016301; GO:0016773,"ko:K00852,ko:K18478","ko00030,map00030"
EIC28876.1,H8GH85,2.7.1.15; 2.7.1.20,G,NZ_CM001475.1,chromosome,1187723,1188658,935,311,"sugar kinase, ribokinase",GO:0016301,"ko:K00852,ko:K00856","ko00030,ko00230,ko01100,map00030,map00230,map01100"
EIC29740.1,H8GPW1,2.7.1.165,G,NZ_CM001475.1,chromosome,2230142,2231506,1364,454,putative glycerate kinase,GO:0008887,ko:K11529,"ko00030,ko00260,ko00561,ko00630,ko00680,ko01100,ko01120,ko01130,ko01200,map00030,map00260,map00561,map00630,map00680,map01100,map01120,map01130,map01200"
EIC31164.1,H8GRI5,2.7.1.167; 2.7.1.33; 2.7.7.70; 5.3.1.28,G,NZ_CM001475.1,chromosome,3916895,3917482,587,195,phosphoheptose isomerase,GO:0016853; GO:0097367; GO:1901135,"ko:K03271,ko:K03272,ko:K03525,ko:K12961","ko00540,ko00770,ko01100,map00540,map00770,map01100"
EIC30090.1,H8GHD8,2.7.1.23,G,NZ_CM001475.1,chromosome,2681061,2681984,923,307,putative sugar kinase,GO:0003951; GO:0019674,ko:K00858,"ko00760,ko01100,map00760,map01100"
EIC30619.1,H8GLU2,2.7.1.4,G,NZ_CM001475.1,chromosome,3304850,3305737,887,295,"sugar kinase, ribokinase",GO:0016301; GO:0016773,ko:K00847,"ko00051,ko00500,ko00520,ko01100,map00051,map00500,map00520,map01100"
